earth.x	earth.y	moon.x	moon.y
1.329629	-504510.000000	384999891.414586	41084399.999878
1.349474	-512040.000000	384999889.793888	41697599.999878
1.369320	-519570.000000	384999888.173190	42310799.999878
1.389165	-527100.000000	384999886.552492	42923999.999878
1.409010	-534630.000000	384999884.931794	43537199.999878
1.428856	-542160.000000	384999883.311096	44150399.999878
1.448701	-549690.000000	384999881.690398	44763599.999878
1.468547	-557220.000000	384999880.069700	45376799.999878
1.488392	-564750.000000	384999878.449002	45989999.999878
1.508238	-572280.000000	384999876.828304	46603199.999878
1.528083	-579810.000000	384999875.207606	47216399.999878
1.547929	-587340.000000	384999873.586909	47829599.999878
1.567774	-594870.000000	384999871.966211	48442799.999878
1.587619	-602400.000000	384999870.345513	49055999.999878
1.607465	-609930.000000	384999868.724815	49669199.999878
1.627310	-617460.000000	384999867.104117	50282399.999878
1.647156	-624990.000000	384999865.483419	50895599.999878
1.667001	-632520.000000	384999863.862721	51508799.999878
1.686847	-640050.000000	384999862.242023	52121999.999878
1.706692	-647580.000000	384999860.621325	52735199.999878
1.726538	-655110.000000	384999859.000627	53348399.999878
1.746383	-662640.000000	384999857.379929	53961599.999878
1.766229	-670170.000000	384999855.759231	54574799.999878
1.786074	-677700.000000	384999854.138533	55187999.999878
1.805919	-685230.000000	384999852.517835	55801199.999878
1.825765	-692760.000000	384999850.897137	56414399.999878
1.845610	-700290.000000	384999849.276439	57027599.999878
1.865456	-707820.000000	384999847.655741	57640799.999878
1.885301	-715350.000000	384999846.035043	58253999.999878
1.905147	-722880.000000	384999844.414345	58867199.999878
1.924992	-730410.000000	384999842.793647	59480399.999878
1.944838	-737940.000000	384999841.172949	60093599.999878
1.964683	-745470.000000	384999839.552251	60706799.999878
1.984528	-753000.000001	384999837.931553	61319999.999878
2.004374	-760530.000001	384999836.310855	61933199.999878
2.024219	-768060.000001	384999834.690157	62546399.999878
2.044065	-775590.000001	384999833.069459	63159599.999878
2.063910	-783120.000001	384999831.448761	63772799.999878
2.083756	-790650.000001	384999829.828063	64385999.999878
2.103601	-798180.000001	384999828.207365	64999199.999878
2.123447	-805710.000001	384999826.586667	65612399.999878
2.143292	-813240.000001	384999824.965969	66225599.999878
2.163138	-820770.000001	384999823.345271	66838799.999878
2.182983	-828300.000001	384999821.724573	67451999.999878
2.202828	-835830.000001	384999820.103875	68065199.999878
2.222674	-843360.000001	384999818.483177	68678399.999878
2.242519	-850890.000001	384999816.862479	69291599.999878
2.262365	-858420.000001	384999815.241781	69904799.999878
2.282210	-865950.000001	384999813.621083	70517999.999878
2.302056	-873480.000001	384999812.000385	71131199.999878
2.321901	-881010.000001	384999810.379687	71744399.999878
2.341747	-888540.000001	384999808.758990	72357599.999878
2.361592	-896070.000001	384999807.138292	72970799.999878
2.381437	-903600.000001	384999805.517594	73583999.999878
2.401283	-911130.000001	384999803.896896	74197199.999878
2.421128	-918660.000001	384999802.276198	74810399.999878
2.440974	-926190.000001	384999800.655500	75423599.999878
2.460819	-933720.000001	384999799.034802	76036799.999878
2.480665	-941250.000001	384999797.414104	76649999.999878
2.500510	-948780.000001	384999795.793406	77263199.999878
2.520356	-956310.000001	384999794.172708	77876399.999878
2.540201	-963840.000001	384999792.552010	78489599.999878
2.560047	-971370.000001	384999790.931312	79102799.999878
2.579892	-978900.000001	384999789.310614	79715999.999878
2.599737	-986430.000001	384999787.689916	80329199.999878
2.619583	-993960.000001	384999786.069218	80942399.999878
2.639428	-1001490.000001	384999784.448520	81555599.999878
2.659274	-1009020.000001	384999782.827822	82168799.999878
2.679119	-1016550.000001	384999781.207124	82781999.999878
2.698965	-1024080.000002	384999779.586426	83395199.999878
2.718810	-1031610.000002	384999777.965728	84008399.999878
2.738656	-1039140.000002	384999776.345030	84621599.999878
2.758501	-1046670.000002	384999774.724332	85234799.999878
2.778346	-1054200.000002	384999773.103634	85847999.999878
2.798192	-1061730.000002	384999771.482936	86461199.999878
2.818037	-1069260.000002	384999769.862238	87074399.999878
2.837883	-1076790.000002	384999768.241540	87687599.999878
2.857728	-1084320.000002	384999766.620842	88300799.999878
2.877574	-1091850.000002	384999765.000144	88913999.999878
2.897419	-1099380.000002	384999763.379446	89527199.999878
2.917265	-1106910.000002	384999761.758748	90140399.999878
2.937110	-1114440.000002	384999760.138050	90753599.999878
2.956956	-1121970.000002	384999758.517352	91366799.999878
2.976801	-1129500.000002	384999756.896654	91979999.999878
2.996646	-1137030.000002	384999755.275956	92593199.999878
3.016492	-1144560.000002	384999753.655258	93206399.999878
3.036337	-1152090.000002	384999752.034560	93819599.999878
3.056183	-1159620.000002	384999750.413862	94432799.999878
3.076028	-1167150.000002	384999748.793164	95045999.999878
3.095874	-1174680.000002	384999747.172466	95659199.999878
3.115719	-1182210.000002	384999745.551768	96272399.999878
3.135565	-1189740.000002	384999743.931071	96885599.999878
3.155410	-1197270.000002	384999742.310373	97498799.999878
3.175255	-1204800.000002	384999740.689675	98111999.999878
3.195101	-1212330.000002	384999739.068977	98725199.999878
3.214946	-1219860.000002	384999737.448279	99338399.999878
3.234792	-1227390.000002	384999735.827581	99951599.999878
3.254637	-1234920.000002	384999734.206883	100564799.999878
3.274483	-1242450.000002	384999732.586185	101177999.999878
3.294328	-1249980.000002	384999730.965487	101791199.999878
3.314174	-1257510.000002	384999729.344789	102404399.999878
3.334019	-1265040.000002	384999727.724091	103017599.999878
3.353865	-1272570.000002	384999726.103393	103630799.999878
3.373710	-1280100.000002	384999724.482695	104243999.999878
3.393555	-1287630.000002	384999722.861997	104857199.999878
3.413401	-1295160.000003	384999721.241299	105470399.999878
3.433246	-1302690.000003	384999719.620601	106083599.999878
3.453092	-1310220.000003	384999717.999903	106696799.999878
3.472937	-1317750.000003	384999716.379205	107309999.999878
3.492783	-1325280.000003	384999714.758507	107923199.999878
3.512628	-1332810.000003	384999713.137809	108536399.999878
3.532474	-1340340.000003	384999711.517111	109149599.999878
3.552319	-1347870.000003	384999709.896413	109762799.999878
3.572165	-1355400.000003	384999708.275715	110375999.999878
3.592010	-1362930.000003	384999706.655017	110989199.999878
3.611855	-1370460.000003	384999705.034319	111602399.999878
3.631701	-1377990.000003	384999703.413621	112215599.999878
3.651546	-1385520.000003	384999701.792923	112828799.999878
3.671392	-1393050.000003	384999700.172225	113441999.999878
3.691237	-1400580.000003	384999698.551527	114055199.999878
3.711083	-1408110.000003	384999696.930829	114668399.999878
3.730928	-1415640.000003	384999695.310131	115281599.999878
3.750774	-1423170.000003	384999693.689433	115894799.999878
3.770619	-1430700.000003	384999692.068735	116507999.999878
3.790464	-1438230.000003	384999690.448037	117121199.999878
3.810310	-1445760.000003	384999688.827339	117734399.999878
3.830155	-1453290.000003	384999687.206641	118347599.999878
3.850001	-1460820.000003	384999685.585943	118960799.999878
3.869846	-1468350.000003	384999683.965245	119573999.999878
3.889692	-1475880.000003	384999682.344547	120187199.999878
3.909537	-1483410.000003	384999680.723849	120800399.999878
3.929383	-1490940.000003	384999679.103152	121413599.999878
3.949228	-1498470.000003	384999677.482454	122026799.999878
3.969074	-1506000.000003	384999675.861756	122639999.999878
3.988919	-1513530.000003	384999674.241058	123253199.999878
4.008764	-1521060.000003	384999672.620360	123866399.999878
4.028610	-1528590.000003	384999670.999662	124479599.999878
4.048455	-1536120.000003	384999669.378964	125092799.999878
4.068301	-1543650.000003	384999667.758266	125705999.999878
4.088146	-1551180.000003	384999666.137568	126319199.999878
4.107992	-1558710.000003	384999664.516870	126932399.999878
4.127837	-1566240.000004	384999662.896172	127545599.999878
4.147683	-1573770.000004	384999661.275474	128158799.999878
4.167528	-1581300.000004	384999659.654776	128771999.999878
4.187373	-1588830.000004	384999658.034078	129385199.999878
4.207219	-1596360.000004	384999656.413380	129998399.999878
4.227064	-1603890.000004	384999654.792682	130611599.999878
4.246910	-1611420.000004	384999653.171984	131224799.999878
4.266755	-1618950.000004	384999651.551286	131837999.999878
4.286601	-1626480.000004	384999649.930588	132451199.999878
4.306446	-1634010.000004	384999648.309890	133064399.999878
4.326292	-1641540.000004	384999646.689192	133677599.999878
4.346137	-1649070.000004	384999645.068494	134290799.999878
4.365983	-1656600.000004	384999643.447796	134903999.999878
4.385828	-1664130.000004	384999641.827098	135517199.999878
4.405673	-1671660.000004	384999640.206400	136130399.999878
4.425519	-1679190.000004	384999638.585702	136743599.999878
4.445364	-1686720.000004	384999636.965004	137356799.999878
4.465210	-1694250.000004	384999635.344306	137969999.999878
4.485055	-1701780.000004	384999633.723608	138583199.999878
4.504901	-1709310.000004	384999632.102910	139196399.999878
4.524746	-1716840.000004	384999630.482212	139809599.999878
4.544592	-1724370.000004	384999628.861514	140422799.999878
4.564437	-1731900.000004	384999627.240816	141035999.999878
4.584282	-1739430.000004	384999625.620118	141649199.999878
4.604128	-1746960.000004	384999623.999420	142262399.999878
4.623973	-1754490.000004	384999622.378722	142875599.999878
4.643819	-1762020.000004	384999620.758024	143488799.999878
4.663664	-1769550.000004	384999619.137326	144101999.999878
4.683510	-1777080.000004	384999617.516628	144715199.999878
4.703355	-1784610.000004	384999615.895930	145328399.999878
4.723201	-1792140.000004	384999614.275232	145941599.999878
4.743046	-1799670.000004	384999612.654535	146554799.999878
4.762892	-1807200.000004	384999611.033837	147167999.999878
4.782737	-1814730.000004	384999609.413139	147781199.999878
4.802582	-1822260.000004	384999607.792441	148394399.999878
4.822428	-1829790.000005	384999606.171743	149007599.999878
4.842273	-1837320.000005	384999604.551045	149620799.999878
4.862119	-1844850.000005	384999602.930347	150233999.999878
4.881964	-1852380.000005	384999601.309649	150847199.999878
4.901810	-1859910.000005	384999599.688951	151460399.999878
4.921655	-1867440.000005	384999598.068253	152073599.999878
4.941501	-1874970.000005	384999596.447555	152686799.999878
4.961346	-1882500.000005	384999594.826857	153299999.999878
4.981191	-1890030.000005	384999593.206159	153913199.999878
5.001037	-1897560.000005	384999591.585461	154526399.999878
5.020882	-1905090.000005	384999589.964763	155139599.999878
5.040728	-1912620.000005	384999588.344065	155752799.999878
5.060573	-1920150.000005	384999586.723367	156365999.999878
5.080419	-1927680.000005	384999585.102669	156979199.999878
5.100264	-1935210.000005	384999583.481971	157592399.999878
5.120110	-1942740.000005	384999581.861273	158205599.999878
5.139955	-1950270.000005	384999580.240575	158818799.999878
5.159801	-1957800.000005	384999578.619877	159431999.999878
5.179646	-1965330.000005	384999576.999179	160045199.999878
5.199491	-1972860.000005	384999575.378481	160658399.999878
5.219337	-1980390.000005	384999573.757783	161271599.999878
5.239182	-1987920.000005	384999572.137085	161884799.999878
5.259028	-1995450.000005	384999570.516387	162497999.999878
5.278873	-2002980.000005	384999568.895689	163111199.999878
5.298719	-2010510.000005	384999567.274991	163724399.999878
5.318564	-2018040.000005	384999565.654293	164337599.999878
5.338410	-2025570.000005	384999564.033595	164950799.999878
5.358255	-2033100.000005	384999562.412897	165563999.999878
5.378100	-2040630.000005	384999560.792199	166177199.999878
5.397946	-2048160.000005	384999559.171501	166790399.999878
5.417791	-2055690.000005	384999557.550803	167403599.999878
5.437637	-2063220.000005	384999555.930105	168016799.999878
5.457482	-2070750.000005	384999554.309407	168629999.999878
5.477328	-2078280.000005	384999552.688709	169243199.999878
5.497173	-2085810.000005	384999551.068011	169856399.999878
5.517019	-2093340.000005	384999549.447313	170469599.999878
5.536864	-2100870.000005	384999547.826616	171082799.999878
5.556710	-2108400.000005	384999546.205918	171695999.999878
5.576555	-2115930.000005	384999544.585220	172309199.999878
5.596400	-2123460.000005	384999542.964522	172922399.999878
5.616246	-2130990.000005	384999541.343824	173535599.999878
5.636091	-2138520.000005	384999539.723126	174148799.999878
5.655937	-2146050.000005	384999538.102428	174761999.999878
5.675782	-2153580.000005	384999536.481730	175375199.999878
5.695628	-2161110.000005	384999534.861032	175988399.999878
5.715473	-2168640.000004	384999533.240334	176601599.999878
5.735319	-2176170.000004	384999531.619636	177214799.999878
5.755164	-2183700.000004	384999529.998938	177827999.999878
5.775009	-2191230.000004	384999528.378240	178441199.999878
5.794855	-2198760.000004	384999526.757542	179054399.999878
5.814700	-2206290.000004	384999525.136844	179667599.999878
5.834546	-2213820.000004	384999523.516146	180280799.999878
5.854391	-2221350.000004	384999521.895448	180893999.999878
5.874237	-2228880.000004	384999520.274750	181507199.999878
5.894082	-2236410.000003	384999518.654052	182120399.999878
5.913928	-2243940.000003	384999517.033354	182733599.999878
5.933773	-2251470.000003	384999515.412656	183346799.999878
5.953619	-2259000.000003	384999513.791958	183959999.999878
5.973464	-2266530.000003	384999512.171260	184573199.999878
5.993309	-2274060.000003	384999510.550562	185186399.999878
6.013155	-2281590.000003	384999508.929864	185799599.999878
6.033000	-2289120.000003	384999507.309166	186412799.999878
6.052846	-2296650.000003	384999505.688468	187025999.999878
6.072691	-2304180.000002	384999504.067770	187639199.999878
6.092537	-2311710.000002	384999502.447072	188252399.999878
6.112382	-2319240.000002	384999500.826374	188865599.999878
6.132228	-2326770.000002	384999499.205676	189478799.999878
6.152073	-2334300.000002	384999497.584978	190091999.999878
6.171918	-2341830.000002	384999495.964280	190705199.999878
6.191764	-2349360.000002	384999494.343582	191318399.999878
6.211609	-2356890.000002	384999492.722884	191931599.999878
6.231455	-2364420.000002	384999491.102186	192544799.999878
6.251300	-2371950.000001	384999489.481488	193157999.999878
6.271146	-2379480.000001	384999487.860790	193771199.999878
6.290991	-2387010.000001	384999486.240092	194384399.999878
6.310837	-2394540.000001	384999484.619394	194997599.999878
6.330682	-2402070.000001	384999482.998697	195610799.999878
6.350528	-2409600.000001	384999481.377999	196223999.999878
6.370373	-2417130.000001	384999479.757301	196837199.999878
6.390218	-2424660.000001	384999478.136603	197450399.999878
6.410064	-2432190.000001	384999476.515905	198063599.999878
6.429909	-2439720.000000	384999474.895207	198676799.999878
6.449755	-2447250.000000	384999473.274509	199289999.999878
6.469600	-2454780.000000	384999471.653811	199903199.999878
6.489446	-2462310.000000	384999470.033113	200516399.999878
6.509291	-2469840.000000	384999468.412415	201129599.999878
6.529137	-2477370.000000	384999466.791717	201742799.999878
6.548982	-2484900.000000	384999465.171019	202355999.999878
6.568827	-2492430.000000	384999463.550321	202969199.999878
6.588673	-2499960.000000	384999461.929623	203582399.999878
6.608518	-2507489.999999	384999460.308925	204195599.999878
6.628364	-2515019.999999	384999458.688227	204808799.999878
6.648209	-2522549.999999	384999457.067529	205421999.999878
6.668055	-2530079.999999	384999455.446831	206035199.999878
6.687900	-2537609.999999	384999453.826133	206648399.999878
6.707746	-2545139.999999	384999452.205435	207261599.999878
6.727591	-2552669.999999	384999450.584737	207874799.999878
6.747437	-2560199.999999	384999448.964039	208487999.999878
6.767282	-2567729.999999	384999447.343341	209101199.999878
6.787127	-2575259.999998	384999445.722643	209714399.999878
6.806973	-2582789.999998	384999444.101945	210327599.999878
6.826818	-2590319.999998	384999442.481247	210940799.999878
6.846664	-2597849.999998	384999440.860549	211553999.999878
6.866509	-2605379.999998	384999439.239851	212167199.999878
6.886355	-2612909.999998	384999437.619153	212780399.999878
6.906200	-2620439.999998	384999435.998455	213393599.999878
6.926046	-2627969.999998	384999434.377757	214006799.999878
6.945891	-2635499.999998	384999432.757059	214619999.999878
6.965736	-2643029.999997	384999431.136361	215233199.999878
6.985582	-2650559.999997	384999429.515663	215846399.999878
7.005427	-2658089.999997	384999427.894965	216459599.999878
7.025273	-2665619.999997	384999426.274267	217072799.999878
7.045118	-2673149.999997	384999424.653569	217685999.999878
7.064964	-2680679.999997	384999423.032871	218299199.999878
7.084809	-2688209.999997	384999421.412173	218912399.999878
7.104655	-2695739.999997	384999419.791475	219525599.999878
7.124500	-2703269.999996	384999418.170778	220138799.999878
7.144346	-2710799.999996	384999416.550080	220751999.999878
7.164191	-2718329.999996	384999414.929382	221365199.999878
7.184036	-2725859.999996	384999413.308684	221978399.999878
7.203882	-2733389.999996	384999411.687986	222591599.999878
7.223727	-2740919.999996	384999410.067288	223204799.999878
7.243573	-2748449.999996	384999408.446590	223817999.999878
7.263418	-2755979.999996	384999406.825892	224431199.999878
7.283264	-2763509.999996	384999405.205194	225044399.999878
7.303109	-2771039.999995	384999403.584496	225657599.999878
7.322955	-2778569.999995	384999401.963798	226270799.999878
7.342800	-2786099.999995	384999400.343100	226883999.999878
7.362645	-2793629.999995	384999398.722402	227497199.999878
7.382491	-2801159.999995	384999397.101704	228110399.999878
7.402336	-2808689.999995	384999395.481006	228723599.999878
7.422182	-2816219.999995	384999393.860308	229336799.999878
7.442027	-2823749.999995	384999392.239610	229949999.999878
7.461873	-2831279.999995	384999390.618912	230563199.999878
7.481718	-2838809.999994	384999388.998214	231176399.999878
7.501564	-2846339.999994	384999387.377516	231789599.999878
7.521409	-2853869.999994	384999385.756818	232402799.999878
7.541255	-2861399.999994	384999384.136120	233015999.999878
7.561100	-2868929.999994	384999382.515422	233629199.999878
7.580945	-2876459.999994	384999380.894724	234242399.999878
7.600791	-2883989.999994	384999379.274026	234855599.999878
7.620636	-2891519.999994	384999377.653328	235468799.999878
7.640482	-2899049.999994	384999376.032630	236081999.999878
7.660327	-2906579.999993	384999374.411932	236695199.999878
7.680173	-2914109.999993	384999372.791234	237308399.999878
7.700018	-2921639.999993	384999371.170536	237921599.999878
7.719864	-2929169.999993	384999369.549838	238534799.999878
7.739709	-2936699.999993	384999367.929140	239147999.999878
7.759555	-2944229.999993	384999366.308442	239761199.999878
7.779400	-2951759.999993	384999364.687744	240374399.999878
7.799245	-2959289.999993	384999363.067046	240987599.999878
7.819091	-2966819.999993	384999361.446348	241600799.999878
7.838936	-2974349.999992	384999359.825650	242213999.999878
7.858782	-2981879.999992	384999358.204952	242827199.999878
7.878627	-2989409.999992	384999356.584254	243440399.999878
7.898473	-2996939.999992	384999354.963556	244053599.999878
7.918318	-3004469.999992	384999353.342858	244666799.999878
7.938164	-3011999.999992	384999351.722161	245279999.999878
7.958009	-3019529.999992	384999350.101463	245893199.999878
7.977854	-3027059.999992	384999348.480765	246506399.999878
7.997700	-3034589.999992	384999346.860067	247119599.999878
8.017545	-3042119.999991	384999345.239369	247732799.999878
8.037391	-3049649.999991	384999343.618671	248345999.999878
8.057236	-3057179.999991	384999341.997973	248959199.999878
8.077082	-3064709.999991	384999340.377275	249572399.999878
8.096927	-3072239.999991	384999338.756577	250185599.999878
8.116773	-3079769.999991	384999337.135879	250798799.999878
8.136618	-3087299.999991	384999335.515181	251411999.999878
8.156464	-3094829.999991	384999333.894483	252025199.999878
8.176309	-3102359.999991	384999332.273785	252638399.999878
8.196154	-3109889.999990	384999330.653087	253251599.999878
8.216000	-3117419.999990	384999329.032389	253864799.999878
8.235845	-3124949.999990	384999327.411691	254477999.999878
8.255691	-3132479.999990	384999325.790993	255091199.999878
8.275536	-3140009.999990	384999324.170295	255704399.999878
8.295382	-3147539.999990	384999322.549597	256317599.999878
8.315227	-3155069.999990	384999320.928899	256930799.999878
8.335073	-3162599.999990	384999319.308201	257543999.999878
8.354918	-3170129.999990	384999317.687503	258157199.999878
8.374763	-3177659.999989	384999316.066805	258770399.999878
8.394609	-3185189.999989	384999314.446107	259383599.999878
8.414454	-3192719.999989	384999312.825409	259996799.999878
8.434300	-3200249.999989	384999311.204711	260609999.999878
8.454145	-3207779.999989	384999309.584013	261223199.999878
8.473991	-3215309.999989	384999307.963315	261836399.999878
8.493836	-3222839.999989	384999306.342617	262449599.999878
8.513682	-3230369.999989	384999304.721919	263062799.999878
8.533527	-3237899.999989	384999303.101221	263675999.999878
8.553373	-3245429.999988	384999301.480523	264289199.999878
8.573218	-3252959.999988	384999299.859825	264902399.999878
8.593063	-3260489.999988	384999298.239127	265515599.999878
8.612909	-3268019.999988	384999296.618429	266128799.999878
8.632754	-3275549.999988	384999294.997731	266741999.999878
8.652600	-3283079.999988	384999293.377033	267355199.999878
8.672445	-3290609.999988	384999291.756335	267968399.999878
8.692291	-3298139.999988	384999290.135637	268581599.999878
8.712136	-3305669.999988	384999288.514939	269194799.999878
8.731982	-3313199.999987	384999286.894242	269807999.999878
8.751827	-3320729.999987	384999285.273544	270421199.999878
8.771672	-3328259.999987	384999283.652846	271034399.999878
8.791518	-3335789.999987	384999282.032148	271647599.999878
8.811363	-3343319.999987	384999280.411450	272260799.999878
8.831209	-3350849.999987	384999278.790752	272873999.999878
8.851054	-3358379.999987	384999277.170054	273487199.999878
8.870900	-3365909.999987	384999275.549356	274100399.999878
8.890745	-3373439.999987	384999273.928658	274713599.999878
8.910591	-3380969.999986	384999272.307960	275326799.999878
8.930436	-3388499.999986	384999270.687262	275939999.999878
8.950282	-3396029.999986	384999269.066564	276553199.999878
8.970127	-3403559.999986	384999267.445866	277166399.999878
8.989972	-3411089.999986	384999265.825168	277779599.999878
9.009818	-3418619.999986	384999264.204470	278392799.999878
9.029663	-3426149.999986	384999262.583772	279005999.999878
9.049509	-3433679.999986	384999260.963074	279619199.999878
9.069354	-3441209.999986	384999259.342376	280232399.999878
9.089200	-3448739.999985	384999257.721678	280845599.999878
9.109045	-3456269.999985	384999256.100980	281458799.999878
9.128891	-3463799.999985	384999254.480282	282071999.999878
9.148736	-3471329.999985	384999252.859584	282685199.999878
9.168581	-3478859.999985	384999251.238886	283298399.999878
9.188427	-3486389.999985	384999249.618188	283911599.999878
9.208272	-3493919.999985	384999247.997490	284524799.999878
9.228118	-3501449.999985	384999246.376792	285137999.999878
9.247963	-3508979.999985	384999244.756094	285751199.999878
9.267809	-3516509.999984	384999243.135396	286364399.999878
9.287654	-3524039.999984	384999241.514698	286977599.999878
9.307500	-3531569.999984	384999239.894000	287590799.999878
9.327345	-3539099.999984	384999238.273302	288203999.999878
9.347191	-3546629.999984	384999236.652604	288817199.999878
9.367036	-3554159.999984	384999235.031906	289430399.999878
9.386881	-3561689.999984	384999233.411208	290043599.999878
9.406727	-3569219.999984	384999231.790510	290656799.999878
9.426572	-3576749.999984	384999230.169812	291269999.999878
9.446418	-3584279.999983	384999228.549114	291883199.999878
9.466263	-3591809.999983	384999226.928416	292496399.999878
9.486109	-3599339.999983	384999225.307718	293109599.999878
9.505954	-3606869.999983	384999223.687020	293722799.999878
9.525800	-3614399.999983	384999222.066323	294335999.999878
9.545645	-3621929.999983	384999220.445625	294949199.999878
9.565490	-3629459.999983	384999218.824927	295562399.999878
9.585336	-3636989.999983	384999217.204229	296175599.999878
9.605181	-3644519.999983	384999215.583531	296788799.999878
9.625027	-3652049.999982	384999213.962833	297401999.999878
9.644872	-3659579.999982	384999212.342135	298015199.999878
9.664718	-3667109.999982	384999210.721437	298628399.999878
9.684563	-3674639.999982	384999209.100739	299241599.999878
9.704409	-3682169.999982	384999207.480041	299854799.999878
9.724254	-3689699.999982	384999205.859343	300467999.999878
9.744100	-3697229.999982	384999204.238645	301081199.999878
9.763945	-3704759.999982	384999202.617947	301694399.999878
9.783790	-3712289.999982	384999200.997249	302307599.999878
9.803636	-3719819.999981	384999199.376551	302920799.999878
9.823481	-3727349.999981	384999197.755853	303533999.999878
9.843327	-3734879.999981	384999196.135155	304147199.999878
9.863172	-3742409.999981	384999194.514457	304760399.999878
9.883018	-3749939.999981	384999192.893759	305373599.999878
9.902863	-3757469.999981	384999191.273061	305986799.999878
9.922709	-3764999.999981	384999189.652363	306599999.999878
9.942554	-3772529.999981	384999188.031665	307213199.999878
9.962399	-3780059.999981	384999186.410967	307826399.999878
9.982245	-3787589.999980	384999184.790269	308439599.999878
10.002090	-3795119.999980	384999183.169571	309052799.999878
10.021936	-3802649.999980	384999181.548873	309665999.999878
10.041781	-3810179.999980	384999179.928175	310279199.999878
10.061627	-3817709.999980	384999178.307477	310892399.999878
10.081472	-3825239.999980	384999176.686779	311505599.999878
10.101318	-3832769.999980	384999175.066081	312118799.999878
10.121163	-3840299.999980	384999173.445383	312731999.999878
10.141009	-3847829.999980	384999171.824685	313345199.999878
10.160854	-3855359.999979	384999170.203987	313958399.999878
10.180699	-3862889.999979	384999168.583289	314571599.999878
10.200545	-3870419.999979	384999166.962591	315184799.999878
10.220390	-3877949.999979	384999165.341893	315797999.999878
10.240236	-3885479.999979	384999163.721195	316411199.999878
10.260081	-3893009.999979	384999162.100497	317024399.999878
10.279927	-3900539.999979	384999160.479799	317637599.999878
10.299772	-3908069.999979	384999158.859101	318250799.999878
10.319618	-3915599.999979	384999157.238404	318863999.999878
10.339463	-3923129.999978	384999155.617706	319477199.999878
